dh_dx,dhdx_less_dzdx,dz_dx,name,wse_interp,x_interp,z_interp
-0.0033,Indeterminate,-0.0033,Carson River @ Lower Carson Canyon,32.9324016,0,31.6624016
-0.0033,Indeterminate,-0.0033,,32.9291016,1,31.6591016
-0.0033,Indeterminate,-0.0033,,32.9258016,2,31.6558016
-0.0033,Indeterminate,-0.0033,,32.9225016,3,31.6525016
-0.0033,Indeterminate,-0.0033,,32.9192016,4,31.6492016
-0.0033,31.6459016,-0.0033,,32.9159016,5,31.6459016
-0.0033,31.6426016,0.012881818,,32.9126016,6,31.6426016
-0.0033,31.65548342,0.015639394,,32.9093016,7,31.65548342
-0.0033,31.67112281,0.015639394,,32.9060016,8,31.67112281
-0.0033,31.68676221,0.015639394,,32.9027016,9,31.68676221
-0.0033,31.7024016,0.015639394,,32.8994016,10,31.7024016
-0.0033,31.71804099,0.015639394,,32.8961016,11,31.71804099
-0.0033,31.73368039,0.012821212,,32.8928016,12,31.73368039
-0.0033,Indeterminate,-0.0033,,32.8895016,13,31.7465016
-0.0033,Indeterminate,-0.0033,,32.8862016,14,31.7432016
-0.0033,31.7399016,-0.0033,,32.8829016,15,31.7399016
-0.0033,Indeterminate,-0.0033,,32.8796016,16,31.7366016
-0.0033,31.7333016,-0.0033,,32.8763016,17,31.7333016
-0.0033,31.7300016,-0.0033,,32.8730016,18,31.7300016
-0.0033,Indeterminate,-0.006657576,,32.8697016,19,31.7267016
-0.0033,Indeterminate,-0.010875758,,32.8664016,20,31.72004402
-0.0033,Indeterminate,-0.010875758,,32.8631016,21,31.70916827
-0.0033,Indeterminate,-0.010875758,,32.8598016,22,31.69829251
-0.0033,Indeterminate,-0.010875758,,32.8565016,23,31.68741675
-0.0033,Indeterminate,-0.010875758,,32.8532016,24,31.67654099
-0.0033,Indeterminate,-0.010875758,,32.8499016,25,31.66566524
-0.0033,Indeterminate,-0.005287879,,32.8466016,26,31.65478948
-0.0033,31.6495016,-0.0033,,32.8433016,27,31.6495016
-0.0033,Indeterminate,-0.0033,,32.8400016,28,31.6462016
-0.0033,Indeterminate,-0.0033,,32.8367016,29,31.6429016
-0.0033,Indeterminate,-0.0033,,32.8334016,30,31.6396016
-0.0033,Indeterminate,-0.0033,,32.8301016,31,31.6363016
-0.0033,31.6330016,-0.001966667,,32.8268016,32,31.6330016
-0.0033,31.63103493,0.038366667,,32.8235016,33,31.63103493
-0.0033,31.6694016,0.038366667,,32.8202016,34,31.6694016
-0.0033,31.70776827,0.038366667,,32.8169016,35,31.70776827
-0.0033,31.74613493,0.038366667,,32.8136016,36,31.74613493
-0.0033,31.7845016,0.038366667,,32.8103016,37,31.7845016
-0.0033,31.82286827,0.038366667,,32.8070016,38,31.82286827
-0.0033,31.86123493,0.034657576,,32.8037016,39,31.86123493
-0.0033,31.89589251,0.02700303,,32.8004016,40,31.89589251
-0.0033,31.92289554,0.02700303,,32.7971016,41,31.92289554
-0.0033,31.94989857,0.02700303,,32.7938016,42,31.94989857
-0.0033,31.9769016,0.02700303,,32.7905016,43,31.9769016
-0.0033,32.00390463,0.02700303,,32.7872016,44,32.00390463
-0.0033,32.03090766,0.02700303,,32.7839016,45,32.03090766
-0.0033,Indeterminate,-0.003566667,,32.7806016,46,32.05791069
-0.0033,Indeterminate,-0.022239394,,32.7773016,47,32.05434402
-0.0033,Indeterminate,-0.022239394,,32.7740016,48,32.03210463
-0.0033,Indeterminate,-0.022239394,,32.7707016,49,32.00986524
-0.0033,Indeterminate,-0.022239394,,32.7674016,50,31.98762584
-0.0033,Indeterminate,-0.022239394,,32.7641016,51,31.96538645
-0.0033,Indeterminate,-0.022239394,,32.7608016,52,31.94314705
-0.0033,31.92090766,0.022827273,,32.7575016,53,31.92090766
-0.0033,31.94373493,0.02700303,,32.7542016,54,31.94373493
-0.0033,31.97073796,0.02700303,,32.7509016,55,31.97073796
-0.0033,31.99774099,0.02700303,,32.7476016,56,31.99774099
-0.0033,32.02474402,0.02700303,,32.7443016,57,32.02474402
-0.0033,32.05174705,0.02700303,,32.7410016,58,32.05174705
-0.0033,32.07875008,0.019857576,,32.7377016,59,32.07875008
-0.0033,Indeterminate,-0.007087879,,32.7344016,60,32.09860766
-0.0033,Indeterminate,-0.007087879,,32.7311016,61,32.09151978
-0.0033,Indeterminate,-0.007087879,,32.7278016,62,32.0844319
-0.0033,Indeterminate,-0.007087879,,32.7245016,63,32.07734402
-0.0033,Indeterminate,-0.007087879,,32.7212016,64,32.07025615
-0.0033,Indeterminate,-0.007087879,,32.7179016,65,32.06316827
-0.0102552,32.05608039,-0.004497624,,32.7146016,66,32.05608039
-0.0171,32.05158276,-0.001948485,,32.7043464,67,32.05158276
-0.0171,32.04963428,-0.001948485,,32.6872464,68,32.04963428
-0.0171,32.04768579,-0.001948485,,32.6701464,69,32.04768579
-0.0171,32.04573731,-0.001948485,,32.6530464,70,32.04573731
-0.0171,32.04378882,-0.001948485,,32.6359464,71,32.04378882
-0.0171,32.04184034,-0.001948485,,32.6188464,72,32.04184034
-0.0171,32.03989185,-0.014045455,,32.6017464,73,32.03989185
-0.0171,32.0258464,-0.0171,,32.5846464,74,32.0258464
-0.0171,Indeterminate,-0.0171,,32.5675464,75,32.0087464
-0.0171,Indeterminate,-0.0171,,32.5504464,76,31.9916464
-0.0171,Indeterminate,-0.0171,,32.5333464,77,31.9745464
-0.0171,Indeterminate,-0.0171,,32.5162464,78,31.9574464
-0.0171,31.9403464,-0.015693939,,32.4991464,79,31.9403464
-0.0171,31.92465246,-0.001948485,,32.4820464,80,31.92465246
-0.0171,31.92270398,-0.001948485,,32.4649464,81,31.92270398
-0.0171,31.92075549,-0.001948485,,32.4478464,82,31.92075549
-0.0171,31.91880701,-0.001948485,,32.4307464,83,31.91880701
-0.0171,31.91685852,-0.001948485,,32.4136464,84,31.91685852
-0.0171,31.91491004,-0.001948485,,32.3965464,85,31.91491004
-0.0171,31.91296155,-0.016615152,,32.3794464,86,31.91296155
-0.0171,Indeterminate,-0.039827273,,32.3623464,87,31.8963464
-0.0171,Indeterminate,-0.039827273,,32.3452464,88,31.85651913
-0.0171,Indeterminate,-0.039827273,,32.3281464,89,31.81669185
