dh_dx,dhdx_less_dzdx,dz_dx,name,wse_interp,x_interp,z_interp
-0.001538462,Indeterminate,-0.012307692,Yampa River @ Lily Park,1703.69,0,1701.6
-0.001538462,Indeterminate,-0.012307692,,1703.688462,1,1701.587692
-0.001538462,Indeterminate,-0.012307692,,1703.686923,2,1701.575385
-0.001538462,Indeterminate,-0.012307692,,1703.685385,3,1701.563077
-0.001538462,Indeterminate,-0.012307692,,1703.683846,4,1701.550769
-0.001538462,Indeterminate,-0.012307692,,1703.682308,5,1701.538462
-0.001538462,Indeterminate,-0.012307692,,1703.680769,6,1701.526154
-0.001538462,Indeterminate,-0.012307692,,1703.679231,7,1701.513846
-0.001538462,Indeterminate,-0.012307692,,1703.677692,8,1701.501538
-0.001538462,Indeterminate,-0.012307692,,1703.676154,9,1701.489231
-0.001538462,Indeterminate,-0.012307692,,1703.674615,10,1701.476923
-0.001538462,Indeterminate,-0.012307692,,1703.673077,11,1701.464615
-0.001538462,Indeterminate,-0.012307692,,1703.671538,12,1701.452308
-0.001538462,Indeterminate,-0.012307692,,1703.67,13,1701.44
-0.001538462,Indeterminate,-0.012307692,,1703.668462,14,1701.427692
-0.001538462,Indeterminate,-0.012307692,,1703.666923,15,1701.415385
-0.001538462,Indeterminate,-0.012307692,,1703.665385,16,1701.403077
-0.001538462,Indeterminate,-0.012307692,,1703.663846,17,1701.390769
-0.001538462,Indeterminate,-0.012307692,,1703.662308,18,1701.378462
-0.001538462,Indeterminate,-0.012307692,,1703.660769,19,1701.366154
-0.001538462,Indeterminate,-0.012307692,,1703.659231,20,1701.353846
-0.001538462,Indeterminate,-0.012307692,,1703.657692,21,1701.341538
-0.001538462,Indeterminate,-0.012307692,,1703.656154,22,1701.329231
-0.001538462,Indeterminate,-0.012307692,,1703.654615,23,1701.316923
-0.001538462,Indeterminate,-0.012307692,,1703.653077,24,1701.304615
-0.001538462,Indeterminate,-0.012307692,,1703.651538,25,1701.292308
-0.001724138,1701.28,0.005172414,,1703.65,26,1701.28
-0.001724138,1701.285172,0.005172414,,1703.648276,27,1701.285172
-0.001724138,1701.290345,0.005172414,,1703.646552,28,1701.290345
-0.001724138,1701.295517,0.005172414,,1703.644828,29,1701.295517
-0.001724138,1701.30069,0.005172414,,1703.643103,30,1701.30069
-0.001724138,1701.305862,0.005172414,,1703.641379,31,1701.305862
-0.001724138,1701.311034,0.005172414,,1703.639655,32,1701.311034
-0.001724138,1701.316207,0.005172414,,1703.637931,33,1701.316207
-0.001724138,1701.321379,0.005172414,,1703.636207,34,1701.321379
-0.001724138,1701.326552,0.005172414,,1703.634483,35,1701.326552
-0.001724138,1701.331724,0.005172414,,1703.632759,36,1701.331724
-0.001724138,1701.336897,0.005172414,,1703.631034,37,1701.336897
-0.001724138,1701.342069,0.005172414,,1703.62931,38,1701.342069
-0.001724138,1701.347241,0.005172414,,1703.627586,39,1701.347241
-0.001724138,1701.352414,0.005172414,,1703.625862,40,1701.352414
-0.001724138,1701.357586,0.005172414,,1703.624138,41,1701.357586
-0.001724138,1701.362759,0.005172414,,1703.622414,42,1701.362759
-0.001724138,1701.367931,0.005172414,,1703.62069,43,1701.367931
-0.001724138,1701.373103,0.005172414,,1703.618966,44,1701.373103
-0.001724138,1701.378276,0.005172414,,1703.617241,45,1701.378276
-0.001724138,1701.383448,0.005172414,,1703.615517,46,1701.383448
-0.001724138,1701.388621,0.005172414,,1703.613793,47,1701.388621
-0.001724138,1701.393793,0.005172414,,1703.612069,48,1701.393793
-0.001724138,1701.398966,0.005172414,,1703.610345,49,1701.398966
-0.001724138,1701.404138,0.005172414,,1703.608621,50,1701.404138
-0.001724138,1701.40931,0.005172414,,1703.606897,51,1701.40931
-0.001724138,1701.414483,0.005172414,,1703.605172,52,1701.414483
-0.001724138,1701.419655,0.005172414,,1703.603448,53,1701.419655
-0.001724138,1701.424828,0.005172414,,1703.601724,54,1701.424828
-0.00125,Indeterminate,-0.003125,,1703.6,55,1701.43
-0.00125,Indeterminate,-0.003125,,1703.59875,56,1701.426875
-0.00125,Indeterminate,-0.003125,,1703.5975,57,1701.42375
-0.00125,Indeterminate,-0.003125,,1703.59625,58,1701.420625
-0.00125,Indeterminate,-0.003125,,1703.595,59,1701.4175
-0.00125,Indeterminate,-0.003125,,1703.59375,60,1701.414375
-0.00125,Indeterminate,-0.003125,,1703.5925,61,1701.41125
-0.00125,Indeterminate,-0.003125,,1703.59125,62,1701.408125
-0.00125,Indeterminate,-0.003125,,1703.59,63,1701.405
-0.00125,Indeterminate,-0.003125,,1703.58875,64,1701.401875
-0.00125,Indeterminate,-0.003125,,1703.5875,65,1701.39875
-0.00125,Indeterminate,-0.003125,,1703.58625,66,1701.395625
-0.00125,Indeterminate,-0.003125,,1703.585,67,1701.3925
-0.00125,Indeterminate,-0.003125,,1703.58375,68,1701.389375
-0.00125,Indeterminate,-0.003125,,1703.5825,69,1701.38625
-0.00125,Indeterminate,-0.003125,,1703.58125,70,1701.383125
-0.00125,Indeterminate,-0.003125,,1703.58,71,1701.38
-0.00125,Indeterminate,-0.003125,,1703.57875,72,1701.376875
-0.00125,Indeterminate,-0.003125,,1703.5775,73,1701.37375
-0.00125,Indeterminate,-0.003125,,1703.57625,74,1701.370625
-0.00125,Indeterminate,-0.003125,,1703.575,75,1701.3675
-0.00125,Indeterminate,-0.003125,,1703.57375,76,1701.364375
-0.00125,Indeterminate,-0.003125,,1703.5725,77,1701.36125
-0.00125,Indeterminate,-0.003125,,1703.57125,78,1701.358125
-0.00125,Indeterminate,-0.003125,,1703.57,79,1701.355
-0.00125,Indeterminate,-0.003125,,1703.56875,80,1701.351875
-0.00125,Indeterminate,-0.003125,,1703.5675,81,1701.34875
-0.00125,Indeterminate,-0.003125,,1703.56625,82,1701.345625
-0.00125,Indeterminate,-0.003125,,1703.565,83,1701.3425
-0.00125,Indeterminate,-0.003125,,1703.56375,84,1701.339375
