dh_dx,dhdx_less_dzdx,dz_dx,name,wse_interp,x_interp,z_interp
-0.008333333,Indeterminate,-0.015833333,Lost Man Creek,14.33,0,14.18
-0.008333333,Indeterminate,-0.015833333,,14.32166667,1,14.16416667
-0.008333333,Indeterminate,-0.015833333,,14.31333333,2,14.14833333
-0.008333333,Indeterminate,-0.015833333,,14.305,3,14.1325
-0.008333333,Indeterminate,-0.015833333,,14.29666667,4,14.11666667
-0.008333333,Indeterminate,-0.015833333,,14.28833333,5,14.10083333
-0.008333333,Indeterminate,-0.015833333,,14.28,6,14.085
-0.008333333,Indeterminate,-0.015833333,,14.27166667,7,14.06916667
-0.008333333,Indeterminate,-0.015833333,,14.26333333,8,14.05333333
-0.008333333,Indeterminate,-0.015833333,,14.255,9,14.0375
-0.008333333,Indeterminate,-0.015833333,,14.24666667,10,14.02166667
-0.008333333,Indeterminate,-0.015833333,,14.23833333,11,14.00583333
-0.000769231,Indeterminate,-0.036153846,,14.23,12,13.99
-0.000769231,Indeterminate,-0.036153846,,14.22923077,13,13.95384615
-0.000769231,Indeterminate,-0.036153846,,14.22846154,14,13.91769231
-0.000769231,Indeterminate,-0.036153846,,14.22769231,15,13.88153846
-0.000769231,Indeterminate,-0.036153846,,14.22692308,16,13.84538462
-0.000769231,Indeterminate,-0.036153846,,14.22615385,17,13.80923077
-0.000769231,Indeterminate,-0.036153846,,14.22538462,18,13.77307692
-0.000769231,Indeterminate,-0.036153846,,14.22461538,19,13.73692308
-0.000769231,Indeterminate,-0.036153846,,14.22384615,20,13.70076923
-0.000769231,Indeterminate,-0.036153846,,14.22307692,21,13.66461538
-0.000769231,Indeterminate,-0.036153846,,14.22230769,22,13.62846154
-0.000769231,Indeterminate,-0.036153846,,14.22153846,23,13.59230769
-0.000769231,Indeterminate,-0.036153846,,14.22076923,24,13.55615385
0.00125,Indeterminate,-0.03625,,14.22,25,13.52
0.00125,Indeterminate,-0.03625,,14.22125,26,13.48375
0.00125,Indeterminate,-0.03625,,14.2225,27,13.4475
0.00125,Indeterminate,-0.03625,,14.22375,28,13.41125
0.00125,Indeterminate,-0.03625,,14.225,29,13.375
0.00125,Indeterminate,-0.03625,,14.22625,30,13.33875
0.00125,Indeterminate,-0.03625,,14.2275,31,13.3025
0.00125,Indeterminate,-0.03625,,14.22875,32,13.26625
-0.003333333,13.23,0.09,,14.23,33,13.23
-0.003333333,13.32,0.09,,14.22666667,34,13.32
-0.003333333,13.41,0.09,,14.22333333,35,13.41
0.0025,Indeterminate,-0.145,,14.22,36,13.5
0.0025,Indeterminate,-0.145,,14.2225,37,13.355
0.0025,Indeterminate,-0.145,,14.225,38,13.21
0.0025,Indeterminate,-0.145,,14.2275,39,13.065
-0.003030303,12.92,0.015151515,,14.23,40,12.92
-0.003030303,12.93515152,0.015151515,,14.2269697,41,12.93515152
-0.003030303,12.95030303,0.015151515,,14.22393939,42,12.95030303
-0.000909091,12.96545455,0.070170455,,14.22090909,43,12.96545455
0,13.035625,0.09375,,14.22,44,13.035625
0,13.129375,0.09375,,14.22,45,13.129375
0,13.223125,0.112430556,,14.22,46,13.223125
0,13.33555556,0.131111111,,14.22,47,13.33555556
0,13.46666667,0.131111111,,14.22,48,13.46666667
0,13.59777778,0.131111111,,14.22,49,13.59777778
0,13.72888889,0.131111111,,14.22,50,13.72888889
-0.002985075,13.86,0.035820896,,14.22,51,13.86
-0.002985075,13.8958209,0.035820896,,14.21701493,52,13.8958209
-0.002985075,13.93164179,0.035820896,,14.21402985,53,13.93164179
-0.002985075,13.96746269,0.035820896,,14.21104478,54,13.96746269
-0.002985075,14.00328358,0.035820896,,14.2080597,55,14.00328358
-0.002985075,14.03910448,0.035820896,,14.20507463,56,14.03910448
-0.010624035,14.07492537,0.011884972,,14.20208955,57,14.07492537
-0.028448276,Indeterminate,-0.043965517,,14.19146552,58,14.08681034
-0.028448276,Indeterminate,-0.043965517,,14.16301724,59,14.04284483
-0.028448276,Indeterminate,-0.043965517,,14.13456897,60,13.99887931
-0.028448276,Indeterminate,-0.043965517,,14.10612069,61,13.95491379
-0.028448276,Indeterminate,-0.043965517,,14.07767241,62,13.91094828
-0.028448276,Indeterminate,-0.043965517,,14.04922414,63,13.86698276
-0.028448276,Indeterminate,-0.043965517,,14.02077586,64,13.82301724
-0.028448276,Indeterminate,-0.043965517,,13.99232759,65,13.77905172
-0.028448276,Indeterminate,-0.043965517,,13.96387931,66,13.73508621
-0.028448276,Indeterminate,-0.043965517,,13.93543103,67,13.69112069
