dh_dx,dhdx_less_dzdx,dz_dx,name,wse_interp,x_interp,z_interp
0.006179903,Indeterminate,-0.046349273,Motupiko River @ Quinnies Bush,214.893,0,214.792
0.006179903,Indeterminate,-0.046349273,,214.8991799,1,214.7456507
0.006179903,Indeterminate,-0.046349273,,214.9053598,2,214.6993015
0.006179903,Indeterminate,-0.046349273,,214.9115397,3,214.6529522
0.006179903,Indeterminate,-0.046349273,,214.9177196,4,214.6066029
0.006179903,Indeterminate,-0.046349273,,214.9238995,5,214.5602536
0.006179903,Indeterminate,-0.046349273,,214.9300794,6,214.5139044
0.006179903,Indeterminate,-0.046349273,,214.9362593,7,214.4675551
0.004560776,Indeterminate,-0.050020684,,214.9424392,8,214.4212058
0,Indeterminate,-0.060362358,,214.947,9,214.3711851
0,Indeterminate,-0.060362358,,214.947,10,214.3108228
0,Indeterminate,-0.060362358,,214.947,11,214.2504604
0,Indeterminate,-0.060362358,,214.947,12,214.1900981
0,Indeterminate,-0.060362358,,214.947,13,214.1297357
0,Indeterminate,-0.060362358,,214.947,14,214.0693733
0,Indeterminate,-0.060362358,,214.947,15,214.009011
-0.002812815,Indeterminate,-0.17771572,,214.947,16,213.9486486
-0.003220947,Indeterminate,-0.194743389,,214.9441872,17,213.7709329
-0.003220947,Indeterminate,-0.194743389,,214.9409662,18,213.5761895
-0.003220947,Indeterminate,-0.194743389,,214.9377453,19,213.3814461
0.00037025,Indeterminate,-0.063572717,,214.9345243,20,213.1867027
0.001068547,Indeterminate,-0.038066996,,214.9348946,21,213.12313
0.001068547,Indeterminate,-0.038066996,,214.9359631,22,213.085063
0.001068547,Indeterminate,-0.038066996,,214.9370317,23,213.046996
0.001068547,Indeterminate,-0.038066996,,214.9381002,24,213.008929
0.001068547,Indeterminate,-0.038066996,,214.9391688,25,212.970862
0.001068547,Indeterminate,-0.038066996,,214.9402373,26,212.932795
0.000593161,Indeterminate,-0.019478168,,214.9413059,27,212.894728
-0.00028812,212.8752499,0.014982217,,214.941899,28,212.8752499
-0.00028812,212.8902321,0.014982217,,214.9416109,29,212.8902321
-0.00028812,212.9052143,0.014982217,,214.9413228,30,212.9052143
-0.000634268,212.9201965,0.031982627,,214.9410347,31,212.9201965
-0.000681637,212.9521792,0.034309084,,214.9404004,32,212.9521792
-0.000681637,212.9864882,0.034309084,,214.9397188,33,212.9864882
-0.000681637,213.0207973,0.034309084,,214.9390371,34,213.0207973
0.000192296,213.0551064,0.052062465,,214.9383555,35,213.0551064
0.001144921,213.1071689,0.071414419,,214.9385478,36,213.1071689
0.001144921,213.1785833,0.071414419,,214.9396927,37,213.1785833
0.001144921,213.2499977,0.071414419,,214.9408376,38,213.2499977
0.001144921,213.3214121,0.071414419,,214.9419826,39,213.3214121
0.001144921,213.3928265,0.071414419,,214.9431275,40,213.3928265
0.001144921,213.464241,0.071414419,,214.9442724,41,213.464241
0.000381103,213.5356554,0.072628256,,214.9454173,42,213.5356554
-0.000410479,213.6082836,0.073886216,,214.9457984,43,213.6082836
-0.000410479,213.6821699,0.073886216,,214.9453879,44,213.6821699
-0.000410479,213.7560561,0.073886216,,214.9449775,45,213.7560561
-0.000410479,213.8299423,0.073886216,,214.944567,46,213.8299423
-0.001457077,213.9038285,0.066321508,,214.9441565,47,213.9038285
-0.002102038,213.97015,0.061659791,,214.9426994,48,213.97015
-0.002102038,214.0318098,0.061659791,,214.9405974,49,214.0318098
-0.002102038,214.0934696,0.061659791,,214.9384954,50,214.0934696
-0.002102038,214.1551294,0.061659791,,214.9363933,51,214.1551294
-0.002102038,214.2167892,0.061659791,,214.9342913,52,214.2167892
0.003245594,214.278449,0.039478777,,214.9321892,53,214.278449
0.003774654,214.3179277,0.037284334,,214.9354348,54,214.3179277
0.003774654,214.3552121,0.037284334,,214.9392095,55,214.3552121
0.003774654,214.3924964,0.037284334,,214.9429841,56,214.3924964
0.003774654,214.4297807,0.037284334,,214.9467588,57,214.4297807
0.003774654,214.4670651,0.037284334,,214.9505334,58,214.4670651
0.003774654,214.5043494,0.037284334,,214.9543081,59,214.5043494
0.003774654,214.5416338,0.037284334,,214.9580828,60,214.5416338
0.003774654,214.5789181,0.037284334,,214.9618574,61,214.5789181
0.003774654,214.6162024,0.037284334,,214.9656321,62,214.6162024
0.003774654,214.6534868,0.037284334,,214.9694067,63,214.6534868
0.003774654,214.6907711,0.037284334,,214.9731814,64,214.6907711
0.003774654,214.7280554,0.037284334,,214.976956,65,214.7280554
-0.000524092,Indeterminate,-0.005273894,,214.9807307,66,214.7653398
-0.000854373,Indeterminate,-0.008543733,,214.9802066,67,214.7600659
-0.000854373,Indeterminate,-0.008543733,,214.9793522,68,214.7515221
-0.000854373,Indeterminate,-0.008543733,,214.9784978,69,214.7429784
-0.000854373,Indeterminate,-0.008543733,,214.9776435,70,214.7344347
-0.000854373,Indeterminate,-0.008543733,,214.9767891,71,214.7258909
-0.000854373,Indeterminate,-0.008543733,,214.9759347,72,214.7173472
-0.000854373,Indeterminate,-0.008543733,,214.9750803,73,214.7088035
-0.000854373,Indeterminate,-0.008543733,,214.974226,74,214.7002597
-0.000854373,Indeterminate,-0.008543733,,214.9733716,75,214.691716
-0.000854373,Indeterminate,-0.008543733,,214.9725172,76,214.6831723
-0.001054984,Indeterminate,-0.011231801,,214.9716629,77,214.6746285
-0.0017493,Indeterminate,-0.020535265,,214.9706079,78,214.6633967
-0.0017493,Indeterminate,-0.020535265,,214.9688586,79,214.6428615
-0.0017493,Indeterminate,-0.020535265,,214.9671093,80,214.6223262
-0.0017493,Indeterminate,-0.020535265,,214.96536,81,214.6017909
-0.0017493,Indeterminate,-0.020535265,,214.9636107,82,214.5812557
-0.0017493,Indeterminate,-0.020535265,,214.9618614,83,214.5607204
-0.0017493,Indeterminate,-0.020535265,,214.9601121,84,214.5401851
-0.0017493,Indeterminate,-0.020535265,,214.9583628,85,214.5196499
